id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords
26507;VEJT;medium_airport;Jorhat Airport;2,67315E+11;9,41755E+11;311;AS;IN;IN-AS;Jorhat;yes;VEJT;JRH;;http://aai.aero/allAirports/jorhat_airpo_gi.jsp;https://en.wikipedia.org/wiki/Jorhat_Airport;Rowriah Airport, Jorhat Air Force Station
350147;VEKI;medium_airport;Kushinagar International Airport;26776534;83889214;266;AS;IN;IN-UP;Kushinagar;no;VEKI;KBK;;;https://en.wikipedia.org/wiki/Kushinagar_International_Airport;
26508;VEKR;medium_airport;Kailashahar Airport;24308657;9200768;79;AS;IN;IN-TR;Kailashahar;no;VEKR;IXH;;;https://en.wikipedia.org/wiki/Kailashahar_Airport;
26509;VEKU;medium_airport;Silchar Airport;2,49129E+11;9,29787E+15;352;AS;IN;IN-AS;Silchar;yes;VEKU;IXS;;http://aai.aero/allAirports/silchar_general.jsp;https://en.wikipedia.org/wiki/Silchar_Airport;Kumbhigram Air Force Station
26510;VELP;medium_airport;Lengpui Airport;23840599;92619698;1398;AS;IN;IN-MZ;Aizawl (Lengpui);yes;VELP;AJL;;http://www.aai.aero/allAirports/lengpui.jsp;https://en.wikipedia.org/wiki/Lengpui_Airport;
26511;VELR;medium_airport;Lilabari North Lakhimpur Airport;272955;94097603;330;AS;IN;IN-AS;Lilabari;yes;VELR;IXI;;;https://en.wikipedia.org/wiki/Lilabari_Airport;
26512;VEMN;medium_airport;Dibrugarh Airport;2,74839E+11;9,50169E+11;362;AS;IN;IN-AS;Dibrugarh;yes;VEMN;DIB;;;https://en.wikipedia.org/wiki/Dibrugarh_Airport;Mohanbari Air Force Station
26513;VEMR;medium_airport;Dimapur Airport;2,58839E+16;9,37711E+15;487;AS;IN;IN-NL;Dimapur;yes;VEMR;DMU;;;https://en.wikipedia.org/wiki/Dimapur_Airport;
26514;VEMZ;medium_airport;Muzaffarpur Airport;26119101;85313698;174;AS;IN;IN-BR;Muzaffarpur;no;VEMZ;MZU;;;;
26516;VEPH;medium_airport;Panagarh Air Force Station;2,34743E+16;8,74275E+11;240;AS;IN;IN-WB;;no;VEPH;;;;https://en.wikipedia.org/wiki/Panagarh_Airport;
26517;VEPT;medium_airport;Jay Prakash Narayan Airport;25591299;85087997;170;AS;IN;IN-BR;Patna;yes;VEPT;PAT;;http://airportsindia.org.in/allAirports/patna_techinfo.jsp;https://en.wikipedia.org/wiki/Jay_Prakash_Narayan_Airport;Lok Nayah Jayprakash
26519;VERC;medium_airport;Birsa Munda Airport;2,33143E+16;8,53217E+11;2148;AS;IN;IN-JH;Ranchi;yes;VERC;IXR;;http://airportsindia.org.in/allAirports/ranchi.jsp;https://en.wikipedia.org/wiki/Birsa_Munda_Airport;
